date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,PFE,XOM
2016-02-02,0.023356388848201452,0.03171961334970771,0.018004511408215042,0.019846232572059325,0.020926940233506944,0.022313786024730005,0.009877750994058531,0.021262089158911954
2016-02-03,0.02336075951051375,0.03225356447864209,0.01926045199094315,0.019438694274177187,0.02050015711014669,0.02227586928380003,0.010065312539780668,0.023329084077635908
2016-02-04,0.02321032984851213,0.032370925030064154,0.019788551953966557,0.019421546980409623,0.02033175045029867,0.02167996598715426,0.010175308941911418,0.02351943937157971
2016-02-05,0.023595733323961095,0.03398451037021931,0.02068752011384174,0.019436175684245688,0.02112562977077645,0.024102919012809077,0.010161079743636722,0.0235116701143821
2016-02-08,0.023541505047344185,0.034112951626709,0.02067958826268068,0.019289505843190384,0.021117116514478503,0.025018163039153565,0.010363760478725214,0.02287932057060393
2016-02-09,0.023551413860800185,0.034080211492438506,0.020681636374130282,0.01927921931189524,0.021117225048608926,0.025173486010566494,0.01115136273255576,0.022928407134289657
2016-02-10,0.02352254760275937,0.03404384908424934,0.020288749551476495,0.01931209298721826,0.021181449692375048,0.025159933401388345,0.011569290777981703,0.02295064881062759
2016-02-11,0.02315871755479048,0.03402097401758017,0.020004921791556374,0.020280916614417895,0.021016619364518152,0.024733089381845503,0.0112902385457392,0.022938282387827684
2016-02-12,0.023145191511999678,0.03415149988038607,0.020020401968097245,0.026202752703328527,0.02134359666678413,0.02519141521927165,0.011492710215020267,0.023003562680346624
2016-02-16,0.023693658660865077,0.03476404511952785,0.020169881326507273,0.026430711656898725,0.02140480063539847,0.027253373884069017,0.011805906567510762,0.022994319674327753
2016-02-17,0.02391181683527046,0.033966628622673904,0.020155669957964258,0.025761040955919003,0.021939303033518962,0.027736984804189124,0.01173703946168771,0.02298881985033262
2016-02-18,0.0237349611857893,0.03403407128674204,0.02042708873059724,0.025873902714470137,0.021918421482155073,0.032148540318749794,0.011594914371978451,0.02296651714941537
2016-02-19,0.023499501481398025,0.03432334678749229,0.020480182062239158,0.02578714058613284,0.02172122176456155,0.03141250245840981,0.011246417283114065,0.02288516154570548
2016-02-22,0.02224993020118101,0.034921035113014844,0.020115709491365378,0.02490166481424056,0.020978447506547787,0.03119421195344052,0.011858218891548845,0.022634734205314453
2016-02-23,0.022617917997731933,0.03496407680597088,0.020178039569695844,0.02572571161135451,0.02160213581832571,0.030882956273294685,0.011668751226759038,0.02244663156079345
2016-02-24,0.022585940480815494,0.03476982156845778,0.020193614561539647,0.025727452776156363,0.02161466699550936,0.030892550872655085,0.011666331539555236,0.02223103156000492
2016-02-25,0.022452454048210908,0.0347770307543589,0.02006090059976886,0.025902730553705688,0.021715275814875156,0.030778160849465813,0.012223864100699831,0.022007930805654965
2016-02-26,0.021957338553009215,0.03316544010317196,0.01903974611019838,0.025463222709454975,0.021532306805893717,0.03020443517635397,0.011836053249403735,0.02203039815227956
2016-02-29,0.021569760377489783,0.03294903049061665,0.018894011800401254,0.0256157930555039,0.020891905926725116,0.02999239682460413,0.011361441272639205,0.020828050859957162
2016-03-01,0.02232300361190933,0.0334115184816206,0.019184169942319994,0.02705557644200341,0.020494078692258857,0.02882107129454193,0.011532062461676446,0.020611200770340524
2016-03-02,0.022292242619237627,0.033389747658822744,0.01910317281676139,0.027090072588572104,0.020437227171651216,0.028820300244081193,0.011519580735778632,0.02054694795961942
2016-03-03,0.02231741124459382,0.03338957874039752,0.019222021905694477,0.026560245745180528,0.020567232726907546,0.028957813685580713,0.011527094235878313,0.01876449439030838
2016-03-04,0.0224019079412462,0.033388575983938504,0.01912384567416467,0.02652325143311412,0.020567344881801907,0.028986323121430915,0.01156252243075488,0.018720538109467524
2016-03-07,0.020368847981773224,0.0328838226529483,0.01898979823841566,0.026014142088723782,0.019812500846782488,0.02886941348935709,0.01154207790827491,0.018380129896887445
2016-03-08,0.02009161692635013,0.032887036522871664,0.018792494171769175,0.025912998774842395,0.019871234860177212,0.02915630439968268,0.011757048299803667,0.017649722668582314
2016-03-09,0.020071204789153183,0.03283838535291657,0.019059357312807272,0.02554713981225344,0.020271241114572507,0.02914788901009003,0.011978390979406032,0.016548333255132792
2016-03-10,0.01569521112621,0.03241303829474266,0.01867458899281234,0.025611384273138763,0.020175347685907122,0.02901831521627378,0.011980155531742837,0.01610656397771216
2016-03-11,0.015743682814360983,0.027912839424886142,0.0172234446836633,0.025688741387991917,0.02027175535113186,0.028968103199354653,0.013157767262008152,0.015683797511663343
